Archanara dissoluta
Orthosia cruda
Sesia bembeciformis
Pseudoips prasinana
Mythimna unipuncta
Smerinthus ocellata
Hadena perplexa
Agriopis aurantiaria
Noctua janthina
Tyta luctuosa
Biston strataria
Naenia typica
Agrotis exclamationis
Agriopis bajaria
Abraxas pantaria
Euplagia quadripunctaria
Oligia strigilis
Agrotis ipsilon
Hemistola chrysoprasaria
Tethea ocularis
Achlya flavicornis
Panolis flammea
Hypena lividalis
Electrophaes corylata
Laothoe populi
Acronicta aceris
Alsophila aescularia
Dysgonia algira
Abraxas sylvata
Idaea fuscovenosa
Chilodes maritima
Eupithecia vulgata
Eupithecia centaureata
Lenisa geminipuncta
Larentia clavaria
Meganola albula
Mesotype didymata
Coscinia striata
Mythimna straminea
Acronicta euphorbiae
Apopestes spectrum
Aporophyla nigra
Scopula immorata
Clostera curtula
Brachylomia viminalis
Eublemma cochylioides
Cerastis rubricosa
Autographa gamma
Zygaena fausta
Pterostoma palpina
Ctenoplusia limbirena
Rhyparia purpurata
Polia nebulosa
Chlorissa cloraria
Perizoma albulata
Idaea laevigata
Hypomecis punctinalis
Ochropleura plecta
Charissa obscurata
Asthena albulata
Hypena crassalis
Cyclophora ruficiliaria
Mythimna languida
Xanthorhoe designata
Hypena proboscidalis
Idaea subsericeata
Craniophora ligustri
Acanthovalva inconspicuaria
Arctia caja
Eupithecia nanata
Noctua pronuba
Phigalia pilosaria
Cosmorhoe ocellata
Apocheima hispidaria
Orgyia recens
Mythimna l-album
Dryobotodes eremita
Chiasmia clathrata
Mesoligia furuncula
Earophila badiata
Ceramica pisi
Rhodometra sacraria
Oligia fasciuncula
Acronicta alni
Trichopteryx carpinata
Caradrina flavirena
Eilema caniola
Notodonta dromedarius
Compsoptera opacaria
Eublemma parva
Meganola togatulalis
Noctua comes
Hadena confusa
Abrostola tripartita
Operophtera brumata
Aplocera efformata
Cyclophora puppillaria
Sideridis reticulata
Thaumetopoea pityocampa
Heliothis nubigera
Epirrita dilutata
Mythimna ferrago
Idaea ochrata
Peribatodes rhomboidaria
Aedia leucomelas
Xestia castanea
Odice jucunda
Xylocampa areola
Pennithera firmata
Dypterygia scabriuscula
Zeuzera pyrina
Furcula bifida
Eupithecia phoeniceata
Catocala fraxini
Dyspessa ulula
Coscinia cribraria
Saturnia pyri
Thera cupressata
Leucania comma
Catocala nymphagoga
Denticucullus pygmina
Acronicta megacephala
Griposia aprilina
Catocala nymphaea
Lasiocampa trifolii
Odonestis pruni
Eupithecia semigraphata
Epione repandaria
Sideridis rivularis
